Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
May,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Jun,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Jul,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Aug,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Sep,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Oct,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Nov,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Dec,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Jan,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Feb,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Mar,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Apr,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
May,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Jun,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Jul,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Aug,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Sep,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Oct,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Nov,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
Dec,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_Celtic_Sea_2003-2013_not_yet_extracted
